issn,year,volume,issue,n_arts,has_refs,n_refs,avg_nchars_txt,avg_nchars_xml
74027,2017,112,01,10,10,29,7757,30701
74027,2017,112,02,9,9,30,8558,33873
74027,2017,112,03,10,10,40,10374,42872
74027,2017,112,04,10,10,30,8352,33787
74027,2017,112,05,10,10,30,7844,31381
74027,2017,112,06,11,11,28,7925,31779
74027,2017,112,07,10,10,21,6127,25311
74027,2017,0,0,1,1,15,6683,37040
74027,2016,111,01,10,10,45,12215,53911
74027,2016,111,02,10,10,30,8828,38769
74027,2016,111,03,10,10,45,12086,54752
74027,2016,111,04,10,10,35,9694,45673
74027,2016,111,05,11,11,32,8060,33503
74027,2016,111,06,11,11,27,7146,30657
74027,2016,111,07,10,10,40,9807,39450
74027,2016,111,08,10,10,25,6857,28156
74027,2016,111,09,11,11,22,6448,26325
74027,2016,111,10,10,10,38,8984,38813
74027,2016,111,11,10,10,29,7542,31421
74027,2016,111,12,10,10,25,6779,28125
74027,2015,110,01,17,17,35,9762,44461
74027,2015,110,02,18,18,33,9394,42564
74027,2015,110,03,20,20,53,11710,43997
74027,2015,110,04,20,20,33,9318,42084
74027,2015,110,05,20,18,33,8612,38014
74027,2015,110,06,20,20,34,9026,40706
74027,2015,110,07,12,11,41,10437,47729
74027,2015,110,08,14,14,46,12003,54444
74027,2015,0,0,1,1,1,381,2071
74027,2014,109,01,17,17,39,10245,45344
74027,2014,109,02,20,20,36,8003,30754
74027,2014,109,03,21,21,32,7679,28808
74027,2014,109,04,21,21,32,7351,27261
74027,2014,109,05,19,19,57,12090,49959
74027,2014,109,06,21,21,38,8491,32703
74027,2014,109,07,22,21,34,8891,38845
74027,2014,109,08,19,19,31,7983,28811
74027,2013,108,01,24,23,28,6406,23767
74027,2013,108,02,23,23,28,6865,23659
74027,2013,108,03,21,21,35,8531,29447
74027,2013,108,04,23,23,31,8361,27708
74027,2013,108,05,22,22,36,9189,40493
74027,2013,108,06,22,22,36,8793,31297
74027,2013,108,07,22,22,31,8217,34456
74027,2013,108,08,20,20,35,7772,28236
74027,2013,108,suppl 1,15,15,68,12004,46560
74027,2012,107,01,22,21,35,7981,29022
74027,2012,107,02,21,20,34,7193,26555
74027,2012,107,03,22,22,38,8115,29214
74027,2012,107,04,24,23,35,7646,27859
74027,2012,107,05,23,23,28,6523,23670
74027,2012,107,06,21,21,34,7525,28227
74027,2012,107,07,23,22,32,7364,27971
74027,2012,107,08,22,22,28,6381,23817
74027,2012,107,suppl 1,29,28,40,8247,32368
74027,2011,106,01,19,19,30,7204,26396
74027,2011,106,02,23,22,32,7209,26381
74027,2011,106,03,24,23,31,6961,26142
74027,2011,106,04,22,22,39,8620,31493
74027,2011,106,05,22,21,30,6681,24736
74027,2011,106,06,23,23,34,7222,27085
74027,2011,106,07,17,16,43,8952,34521
74027,2011,106,08,27,27,31,7179,26811
74027,2011,106,suppl 1,28,27,75,14235,56664
74027,2010,105,01,21,19,31,6543,23806
74027,2010,105,02,22,22,27,6046,21862
74027,2010,105,03,21,20,29,6494,23601
74027,2010,105,04,40,39,35,7451,27354
74027,2010,105,05,22,22,33,7460,27797
74027,2010,105,06,19,19,32,7548,27431
74027,2010,105,07,21,21,27,6417,23502
74027,2010,105,08,21,21,36,7904,29641
74027,2009,104,01,20,20,37,7940,29246
74027,2009,104,02,38,37,47,9154,36891
74027,2009,104,03,21,20,39,8039,30114
74027,2009,104,04,25,25,31,6493,24142
74027,2009,104,05,24,24,29,6496,23998
74027,2009,104,06,23,21,28,5731,20355
74027,2009,104,07,21,21,34,7827,27519
74027,2009,104,08,22,22,36,8091,29037
74027,2009,104,suppl 1,42,40,62,11884,45473
74027,2008,103,01,21,20,38,7531,27390
74027,2008,103,02,17,17,33,7875,29713
74027,2008,103,03,15,15,29,6452,23474
74027,2008,103,04,18,18,29,6633,24261
74027,2008,103,05,21,20,26,5916,21983
74027,2008,103,06,21,21,25,5718,21129
74027,2008,103,07,20,19,35,7638,27740
74027,2008,103,08,18,18,32,7318,27419
74027,2007,102,01,22,21,26,5788,21115
74027,2007,102,02,21,20,26,5718,20815
74027,2007,102,03,23,22,31,6685,24385
74027,2007,102,04,19,18,33,7142,26395
74027,2007,102,05,20,20,27,5917,21121
74027,2007,102,06,19,19,24,5688,20340
74027,2007,102,07,19,19,30,7003,25756
74027,2007,102,08,19,19,31,6956,25402
74027,2007,102,suppl 1,18,9,33,3793,13129
74027,2006,101,01,24,22,24,4970,17429
74027,2006,101,02,17,17,24,5338,19111
74027,2006,101,03,22,22,27,6242,22945
74027,2006,101,04,19,19,31,6816,24629
74027,2006,101,05,16,15,23,5456,18944
74027,2006,101,06,20,20,26,5880,21074
74027,2006,101,07,17,17,33,7385,26827
74027,2006,101,08,19,16,35,6532,23797
74027,2006,101,suppl 1,61,58,26,5662,20170
74027,2006,101,suppl 2,22,20,33,5100,19315
74027,2005,100,01,18,17,29,6523,24279
74027,2005,100,02,17,17,30,6697,23396
74027,2005,100,03,21,21,23,5291,18955
74027,2005,100,04,19,19,26,6096,21644
74027,2005,100,05,19,18,30,6149,22003
74027,2005,100,06,13,13,28,6300,22169
74027,2005,100,07,23,23,24,5556,19690
74027,2005,100,08,16,16,40,8085,29644
74027,2005,100,suppl 1,39,38,48,9573,36681
74027,2004,99,01,21,21,25,5959,20758
74027,2004,99,02,22,21,27,5757,20512
74027,2004,99,03,18,18,28,6392,22796
74027,2004,99,04,16,15,31,6086,21683
74027,2004,99,05,15,15,26,5837,20350
74027,2004,99,06,22,22,22,5163,18523
74027,2004,99,07,20,20,29,6305,23080
74027,2004,99,08,19,19,26,5996,20972
74027,2004,99,suppl 1,23,22,29,6091,21503
74027,2003,98,01,19,19,35,6851,24122
74027,2003,98,02,21,21,34,6800,24083
74027,2003,98,03,26,24,24,5138,18353
74027,2003,98,04,28,27,25,5209,18448
74027,2003,98,05,22,22,29,6152,21303
74027,2003,98,06,25,24,25,5491,19506
74027,2003,98,07,21,21,32,6672,23658
74027,2003,98,08,25,25,23,5486,18888
74027,2003,98,suppl 1,30,28,42,5906,23478
74027,2002,97,01,25,25,17,4239,14671
74027,2002,97,02,26,26,23,5315,19178
74027,2002,97,03,32,31,21,4584,16258
74027,2002,97,04,28,28,26,5676,20195
74027,2002,97,05,30,29,24,5094,17504
74027,2002,97,06,30,30,20,4495,15653
74027,2002,97,07,22,21,28,6087,22133
74027,2002,97,08,27,27,26,5794,20365
74027,2002,97,suppl 1,36,35,25,5718,19614
74027,2001,96,01,16,16,28,6079,21437
74027,2001,96,02,24,24,26,5501,19683
74027,2001,96,03,26,26,30,5829,21396
74027,2001,96,04,23,23,22,4880,17311
74027,2001,96,05,29,29,22,4784,16734
74027,2001,96,06,26,25,21,4675,16431
74027,2001,96,07,25,24,19,4101,14506
74027,2001,96,08,28,26,27,5118,18109
74027,2001,96,suppl,30,29,27,5651,19621
74027,2000,95,01,23,23,21,4457,15456
74027,2000,95,02,25,24,20,4343,15353
74027,2000,95,03,21,20,37,6796,26078
74027,2000,95,04,25,25,30,5852,21214
74027,2000,95,05,25,25,19,4354,15276
74027,2000,95,06,29,28,18,4000,13598
74027,2000,95,suppl 1,38,29,44,5999,23505
74027,1999,94,01,26,14,23,3217,11082
74027,1999,94,02,28,21,28,4618,16444
74027,1999,94,03,26,21,24,4318,15296
74027,1999,94,04,26,21,23,4317,15478
74027,1999,94,05,28,19,21,3225,11357
74027,1999,94,06,27,19,22,3616,12612
74027,1999,94,suppl 1,85,71,31,4734,18333
74027,1999,94,suppl 2,10,0,,351,1973
74027,1998,93,01,25,18,23,3780,13108
74027,1998,93,02,28,21,26,4173,14788
74027,1998,93,03,29,17,22,3094,12035
74027,1998,93,04,26,18,26,3887,13810
74027,1998,93,05,25,21,26,4873,17549
74027,1998,93,06,31,21,23,3468,12032
74027,1998,93,suppl 1,62,37,28,3888,13813
74027,1998,93,suppl 2,8,0,,360,2041
74027,1997,92,01,30,16,25,3058,10801
74027,1997,92,02,26,19,23,3719,12501
74027,1997,92,03,23,20,28,4966,17714
74027,1997,92,04,26,17,26,3795,13751
74027,1997,92,05,30,23,23,4077,14489
74027,1997,92,06,25,19,22,3660,13522
74027,1997,92,suppl 1,8,0,,351,1971
74027,1997,92,suppl 2,35,33,46,9158,33990
74027,1996,91,01,26,19,27,4284,15307
74027,1996,91,02,26,17,23,3295,11708
74027,1996,91,03,26,15,24,3171,12170
74027,1996,91,04,21,17,28,4396,15700
74027,1996,91,05,19,13,32,4489,16106
74027,1996,91,06,29,19,24,3589,12908
74027,1995,90,01,27,0,,1277,3674
74027,1995,90,02,34,0,,1641,3993
74027,1995,90,03,23,0,,1268,3774
74027,1995,90,04,25,0,,1220,3686
74027,1995,90,05,24,0,,1148,3511
74027,1995,90,06,21,0,,1439,3897
74027,1994,89,01,27,0,,1167,3633
74027,1994,89,02,32,0,,1179,3547
74027,1994,89,03,36,0,,1172,3543
74027,1994,89,04,25,0,,1440,3988
74027,1994,89,suppl 2,25,0,,1457,4222
74027,1993,88,01,31,0,,1245,3618
74027,1993,88,02,30,0,,1366,3864
74027,1993,88,03,25,0,,1298,3765
74027,1993,88,04,26,0,,1211,3660
74027,1992,87,01,28,0,,1281,3661
74027,1992,87,02,30,0,,1255,3679
74027,1992,87,03,25,0,,1140,3570
74027,1992,87,04,24,0,,1327,3762
74027,1992,87,suppl 1,57,0,,1171,3436
74027,1992,87,suppl 3,74,0,,1507,3946
74027,1992,87,suppl 4,57,0,,1737,4014
74027,1992,87,suppl 5,24,0,,1526,3788
74027,1991,86,01,25,0,,1187,3519
74027,1991,86,02,19,0,,1430,3876
74027,1991,86,03,15,0,,1072,3441
74027,1991,86,04,31,0,,1100,3511
74027,1991,86,suppl 2,54,0,,1466,3786
74027,1991,86,suppl 3,28,0,,515,2681
74027,1990,85,01,28,0,,1147,3634
74027,1990,85,02,22,0,,1089,3430
74027,1990,85,03,20,0,,1286,3610
74027,1990,85,04,28,0,,1084,3578
74027,1989,84,01,26,0,,2258,4904
74027,1989,84,02,22,0,,2048,4682
74027,1989,84,03,24,0,,2457,5055
74027,1989,84,04,24,0,,1642,4127
74027,1989,84,suppl 1,21,0,,828,2850
74027,1989,84,suppl 3,24,0,,471,2405
74027,1989,84,suppl 4,97,0,,1080,3304
74027,1988,83,01,20,0,,1991,4581
74027,1988,83,02,21,0,,1768,4192
74027,1988,83,03,21,0,,1956,4452
74027,1988,83,04,25,0,,1914,4462
74027,1988,83,suppl 1,76,0,,538,2749
74027,1987,82,01,28,0,,1916,4284
74027,1987,82,02,20,0,,2079,4538
74027,1987,82,03,23,0,,1969,4471
74027,1987,82,04,23,0,,2023,4657
74027,1987,82,suppl 1,15,0,,484,2580
74027,1987,82,suppl 2,26,0,,1056,3228
74027,1987,82,suppl 3,28,0,,1055,3145
74027,1987,82,suppl 4,71,0,,1014,3229
74027,1986,81,01,20,0,,2392,4823
74027,1986,81,02,19,0,,1822,4382
74027,1986,81,03,13,0,,1952,4474
74027,1986,81,04,18,0,,2176,4661
74027,1986,81,suppl 2,43,0,,515,2627
74027,1985,80,01,18,0,,2382,4709
74027,1985,80,02,21,0,,2137,4437
74027,1985,80,03,17,0,,2201,4596
74027,1985,80,04,17,0,,2165,4652
74027,1984,79,01,14,0,,2244,4417
74027,1984,79,02,16,0,,1893,4106
74027,1984,79,03,21,0,,1605,3792
74027,1984,79,04,21,0,,1842,4125
74027,1984,79,suppl,29,0,,505,2530
74027,1983,78,01,13,0,,2423,4731
74027,1983,78,02,13,0,,2022,4365
74027,1983,78,03,13,0,,3032,5370
74027,1983,78,04,16,0,,1764,3977
74027,1982,77,01,10,0,,3164,5535
74027,1982,77,02,10,0,,2076,4229
74027,1982,77,03,10,0,,2151,4439
74027,1982,77,04,14,0,,2140,4329
74027,1981,76,01,11,0,,1772,4053
74027,1981,76,02,12,0,,2608,4877
74027,1981,76,03,10,0,,2025,4127
74027,1981,76,04,10,0,,2467,4602
74027,1980,75,1-2,20,0,,1951,4146
74027,1980,75,3-4,16,0,,1959,4066
74027,1976,74,01,8,0,,1864,4051
74027,1976,74,02,5,0,,2977,5218
74027,1976,74,3-4,14,0,,2156,4351
74027,1975,73,03,5,0,,2680,4950
74027,1975,73,1-2,10,0,,2107,4307
74027,1974,72,1-2,18,0,,1843,3985
74027,1974,72,3-4,13,0,,2384,4567
74027,1973,71,03,8,0,,1899,4100
74027,1973,71,04,10,0,,2023,4364
74027,1973,71,1-2,13,0,,2239,4413
74027,1972,70,01,9,0,,2827,4897
74027,1972,70,02,8,0,,1973,4153
74027,1972,70,03,11,0,,2380,4571
74027,1972,70,04,8,0,,1784,3916
74027,1971,69,01,15,0,,1482,3558
74027,1971,69,02,6,0,,5220,7408
74027,1971,69,03,8,0,,2339,4522
74027,1970,68,01,6,0,,2558,4524
74027,1968,66,01,4,0,,1967,3907
74027,1968,66,02,10,0,,2489,4613
74027,1967,65,01,10,0,,1096,3085
74027,1967,65,02,6,0,,3208,5238
74027,1966,64,0,9,0,,2020,4022
74027,1965,63,0,20,0,,1650,3629
74027,1964,62,0,15,0,,1603,3577
74027,1963,61,01,13,0,,1364,3318
74027,1963,61,02,8,0,,1855,3804
74027,1963,61,03,8,0,,864,2844
74027,1962,60,01,7,0,,1252,3273
74027,1962,60,02,12,0,,1179,3177
74027,1962,60,03,12,0,,1815,3808
74027,1961,59,01,9,0,,1670,3664
74027,1961,59,02,6,0,,1725,3718
74027,1961,59,03,7,0,,1477,3458
74027,1960,58,01,8,0,,1976,4000
74027,1960,58,02,8,0,,2042,4036
74027,1959,57,01,8,0,,2306,4435
74027,1959,57,02,9,0,,1335,3415
74027,1958,56,01,13,0,,2348,4308
74027,1958,56,02,14,0,,2483,4443
74027,1957,55,01,8,0,,1826,3774
74027,1957,55,02,8,0,,1407,3336
74027,1956,54,01,14,0,,2325,4316
74027,1956,54,02,6,0,,1449,3534
74027,1956,54,03,9,0,,2268,4265
74027,1955,53,01,13,0,,2996,5073
74027,1955,53,2-3-4,37,0,,1472,3481
74027,1954,52,01,11,0,,1446,3333
