issn,year,volume,issue,n
74027,1909,1,1,10
74027,1909,1,2,8
74027,1910,2,1,10
74027,1910,2,2,8
74027,1911,3,1,8
74027,1911,3,2,10
74027,1912,4,1,12
74027,1913,5,1,7
74027,1913,5,2,6
74027,1913,5,3,5
74027,1914,6,1,8
74027,1914,6,2,8
74027,1914,6,3,13
74027,1915,7,1,4
74027,1915,7,2,5
74027,1916,8,1,5
74027,1916,8,2,7
74027,1916,8,3,1
74027,1917,9,1,7
74027,1918,10,1,5
74027,1918,10,2,7
74027,1919,11,1,6
74027,1920,12,1,6
74027,1921,13,1,2
74027,1922,14,1,7
74027,1922,15,1,18
74027,1923,16,1,4
74027,1924,17,1,4
74027,1924,17,2,4
74027,1925,18,1,6
74027,1926,19,1,4
74027,1926,19,2,6
74027,1927,20,1,4
74027,1927,20,2,8
74027,1928,21,1,5
74027,1928,21,2,4
74027,1928,21,suppl 1,5
74027,1928,21,suppl 2,5
74027,1928,21,suppl 3,6
74027,1928,21,suppl 4,5
74027,1929,22,1,6
74027,1929,22,suppl 10,4
74027,1929,22,suppl 11,2
74027,1929,22,suppl 12,5
74027,1929,22,suppl 5,8
74027,1929,22,suppl 6,4
74027,1929,22,suppl 7,3
74027,1929,22,suppl 8,5
74027,1929,22,suppl 9,9
74027,1930,23,1,4
74027,1930,23,2,3
74027,1930,23,3,3
74027,1930,23,4,5
74027,1930,23,5,3
74027,1930,24,1,4
74027,1930,24,2,6
74027,1930,24,3,5
74027,1930,24,4,3
74027,1931,25,1,5
74027,1931,25,2,2
74027,1931,25,3,3
74027,1931,25,4,5
74027,1932,26,1,5
74027,1932,26,2,6
74027,1932,26,3,2
74027,1933,27,1,5
74027,1933,27,2,7
74027,1933,27,3,2
74027,1933,27,4,5
74027,1934,28,1,6
74027,1934,28,2,13
74027,1934,28,3,3
74027,1934,28,4,5
74027,1934,29,1,7
74027,1934,29,2,4
74027,1935,30,1,3
74027,1935,30,2,4
74027,1935,30,3,13
74027,1936,31,1,9
74027,1936,31,2,6
74027,1936,31,3,3
74027,1936,31,4,9
74027,1937,32,1,14
74027,1937,32,2,11
74027,1937,32,3,9
74027,1937,32,4,10
74027,1938,33,1,10
74027,1938,33,2,11
74027,1938,33,3,13
74027,1938,33,4,9
74027,1939,34,1,2
74027,1939,34,2,7
74027,1939,34,3,5
74027,1939,34,4,12
74027,1940,35,1,8
74027,1940,35,2,14
74027,1940,35,3,13
74027,1940,35,4,6
74027,1941,36,1,8
74027,1941,36,2,4
74027,1941,36,3,16
74027,1941,36,4,2
74027,1942,37,1,6
74027,1942,37,2,5
74027,1942,37,3,13
74027,1942,37,4,3
74027,1943,38,1,10
74027,1943,38,2,11
74027,1943,38,3,16
74027,1943,39,1,7
74027,1943,39,2,7
74027,1943,39,3,17
74027,1944,40,1,8
74027,1944,40,2,7
74027,1944,40,3,3
74027,1944,41,1,12
74027,1944,41,2,14
74027,1944,41,3,11
74027,1945,42,1,19
74027,1945,42,2,11
74027,1945,42,3,8
74027,1945,43,1,7
74027,1945,43,2,8
74027,1945,43,3,6
74027,1946,44,1,7
74027,1946,44,2,6
74027,1946,44,3,9
74027,1946,44,4,9
74027,1947,45,1,14
74027,1947,45,2,15
74027,1947,45,3,13
74027,1947,45,4,11
74027,1948,46,1,12
74027,1948,46,2,6
74027,1948,46,3,10
74027,1948,46,4,9
74027,1949,47,1-2,11
74027,1949,47,3-4,14
74027,1950,48,0,26
74027,1951,49,0,17
74027,1952,50,0,26
74027,1953,51,0,24
74027,1954,52,1,11
74027,1954,52,2,14
74027,1954,52,3-4,6
74027,1955,53,1,13
74027,1955,53,2-3-4,37
74027,1956,54,1,14
74027,1956,54,2,6
74027,1956,54,3,9
74027,1957,55,1,8
74027,1957,55,2,8
74027,1958,56,1,13
74027,1958,56,2,14
74027,1959,57,1,8
74027,1959,57,2,9
74027,1960,58,1,8
74027,1960,58,2,8
74027,1961,59,1,9
74027,1961,59,2,6
74027,1961,59,3,7
74027,1962,60,1,7
74027,1962,60,2,12
74027,1962,60,3,12
74027,1963,61,1,13
74027,1963,61,2,8
74027,1963,61,3,8
74027,1964,62,0,15
74027,1965,63,0,20
74027,1966,64,0,9
74027,1967,65,1,10
74027,1967,65,2,6
74027,1968,66,1,4
74027,1968,66,2,10
74027,1970,68,1,6
74027,1971,69,1,15
74027,1971,69,2,6
74027,1971,69,3,8
74027,1972,70,1,9
74027,1972,70,2,8
74027,1972,70,3,11
74027,1972,70,4,8
74027,1973,71,1-2,13
74027,1973,71,3,8
74027,1973,71,4,10
74027,1974,72,1-2,18
74027,1974,72,3-4,13
74027,1975,73,1-2,10
