n_reuse,famyly,family_or_license,embargo_months,contradiction,dependences,License,notes
1,,?,,,,"“ASCB®,” “The American Society for Cell Biology®,” and “Molecular Biology of the Cell®” are registered trademarks of The American Society for Cell Biology.",
3,,?,,,,Published by the Royal Society. All rights reserved.,
2,,?,,,,"This is an open access article distributed under the Supplemental Terms and Conditions for iOpenAccess articles published in Taylor &amp; Francis journals, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
4,,?,,,,"This is an open access article published under an ACS AuthorChoice License, which permits copying and redistribution of the article or any adaptations for non-commercial purposes.",
4,,?,,,,"Users may view, print, copy, and download text and data-mine the content in such documents, for the purposes of academic research, subject always to the full Conditions of use:http://www.nature.com/authors/editorial_policies/license.html#terms",
1,,??,,,,Reprints and permission: sagepub.com/journalsPermissions.nav,
1,,??,,,,Reprints and permissions information is available at www.nature.com/reprints.,
1,,??,,,,Reprints and permissions information is available online at http://www.nature.com/reprints/index.html.,
1,,??,,,,This article is freely available online through the J Neurosci Author Open Choice option.,
1,,??,,,,This is a work of the U.S. Government and is not subject to copyright protection in the United States. Foreign copyrights may apply.,
3,,??,,,,"Users may view, print, copy, and download text and data-mine the content in such documents, for the purposes of academic research, subject always to the full Conditions of use: http://www.nature.com/authors/editorial_policies/license.html#terms",
1,,by-??,,,,"This is an open-access article subject to a non-exclusive license between the authors and Frontiers Media SA, which permits use, distribution and reproduction in other forums, provided the original authors and source are credited and other Frontiers conditions are complied with.",
1,by-nc,by-nc,,,,"The online version of this article has been published under an open access model. Users are entitled to use, reproduce, disseminate, or display the open access version of this article for non-commercial purposes provided that: the original authorship is properly and fully attributed; the Journal and Oxford University Press are attributed as the original place of publication with the correct citation details given; if an article is subsequently reproduced or disseminated not in its entirety but only in part or as a derivative work this must be clearly indicated. For commercial re-use, please contact journals.permissions@oxfordjournals.org",
1,by-nc,by-nc,,,,"This is an Open Access article distributed under the terms of the American Society of Tropical Medicine and Hygiene's Re-use License which permits unrestricted non-commercial use, distribution, and reproduction in any medium, provided the original work is properly cited.",
1,by-nc,by-nc,,,,"This is an Open Access article. Non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly attributed, cited, and is not altered, transformed, or built upon in any way, is permitted. The moral rights of the named author(s) have been asserted.",
53,nc-nd,by-nc-nd-4,,,,This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).,
1,by,cc-by,,,,Author’s Choice—Final version free via Creative Commons CC-BY license.,
3,by,cc-by,,,general_conditions,"Cell Death and Disease is an open-access journal published by Nature Publishing Group. This work is licensed under a Creative Commons Attribution 4.0 International License. The images or other third party material in this article are included in the article's Creative Commons license, unless indicated otherwise in the credit line; if the material is not included under the Creative Commons license, users will need to obtain permission from the license holder to reproduce the material. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/",
1,by,cc-by,,,,"License information: This is an open-access article distributed under the terms of the Creative Commons Attribution License (type CC-BY), which permits unrestricted use, distribution and reproduction in any medium, provided the original article is properly cited.",
1,by,cc-by,,,,"Open Access This article is distributed under the terms of the Creative Commons Attribution License which permits any use, distribution, and reproduction in any medium, provided the original author(s) and the source are credited.",
1,by,cc-by,,,,"Open AccessThis article is distributed under the terms of the Creative Commons Attribution License which permits any use, distribution, and reproduction in any medium, provided the original author(s) and the source are credited.",
5,by,cc-by,,,,"The Pan African Medical Journal - ISSN 1937-8688. This is an Open Access article distributed under the terms of the Creative Commons Attribution License which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
1,by,cc-by,,,,"This article is distributed under the terms of the Creative Commons Attribution License (CC-BY), which permits unrestricted use and redistribution provided that the original author and source are credited.",
15,by,cc-by,,,,"This article is distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use and redistribution provided that the original author and source are credited.",
23,by,cc-by,,,,"This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
1,by,cc-by,,,,"This is an Open Access article distributed under the terms of the Creative Commons Attribution licence which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
19,by,cc-by,,,,"This is an open access article distributed under the terms of the Creative Commons Attribution Licence, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
7,by,cc-by,,,,"This is an Open Access article distributed under the terms of the Creative Commons Attribution License (), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
1,by,cc-by,,,,"This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproductfigion in any medium, provided the original author and source are credited.",
14,by,cc-by,,,,"This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited",
312,by,cc-by,,,,"This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",
39,by,cc-by,,,,"This is an Open Access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
2,by,cc-by,,,,"This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",
7,by,cc-by,,X,,"This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, reproduction and adaptation in any medium and for any purpose provided that it is properly attributed. For attribution, the original author(s), title, publication source (PeerJ) and either DOI or URL of the article must be cited.",
