pmcid,issn,pubtype,pubdate
33772,,Journal Article,1978/03/01
407675,0035-9203,Journal Article,1977/01/01
413216,0035-9203,Journal Article,1977/01/01
489960,0022-1724,Journal Article,1979/10/01
743766,,Journal Article,1978/03/01
906078,0041-3232,Journal Article,1977/06/01
1124969,0003-4983,Journal Article,1975/03/01
1243735,,Journal Article,1975/05/01
1245842,0022-1317,Journal Article,1976/01/01
1659238,0002-9637,Journal Article,1991/10/01
2559514,0035-9203,Journal Article,1989/11/01
2600591,0146-6615,Journal Article,1989/10/01
2841406,0022-1317,Journal Article,1988/08/01
3028713,0011-4529,Journal Article,1987/01/01
3031959,0309-3913,Journal Article,1986/09/01
4378566,0007-4853,Journal Article,1965/10/01
4403105,0042-9686,Journal Article,1972/01/01
4546521,0042-9686,Journal Article,1973/01/01
4799154,0003-9012,Journal Article,1973/01/01
4946541,0370-8179,Biography,1971/03/01
4976739,0002-9637,Journal Article,1969/05/01
5002906,0003-9012,Journal Article,1971/01/01
5313066,0042-9686,Journal Article,1970/01/01
6206738,0002-9637,Journal Article,1984/07/01
6268925,0025-682X,Journal Article,1981/01/01
6274526,,Journal Article,1981/09/01
6275577,0035-9203,Journal Article,1981/01/01
6304948,0035-9203,Journal Article,1982/01/01
6306872,0035-9203,Journal Article,1983/01/01
6309104,0003-4983,Journal Article,1983/04/01
6314612,0035-9203,Journal Article,1983/01/01
6809352,,Journal Article,1982/05/01
7406113,0002-9637,Journal Article,1980/07/01
7520190,0923-2516,Journal Article,1994/03/01
8067992,0005-9366,Journal Article,1994/06/01
8099299,0037-9085,Journal Article,1993/01/01
8758061,0035-9203,Journal Article,1996/05/01
9005840,0005-9366,Journal Article,1996/08/01
9045499,0375-8427,Journal Article,1996/12/01
9513297,0005-9366,Journal Article,1998/02/01
9738478,0014-5793,Journal Article,1998/08/28
10099030,0147-9571,Journal Article,1999/01/01
10436653,0036-4665,Journal Article,1998/11/01
11463123,0002-9637,Journal Article,2001/05/01
11681215,0037-9085,Journal Article,2001/08/01
12685070,0090-3558,Journal Article,2003/01/01
12995440,0035-9203,Journal Article,1952/09/01
12995441,0035-9203,Journal Article,1952/09/01
13077401,0040-4675,Journal Article,1953/01/01
13077697,0035-9203,Journal Article,1953/01/01
13157159,0035-9203,Journal Article,1954/03/01
13281796,0040-4675,Journal Article,1955/01/01
13337908,0035-9203,Journal Article,1956/05/01
13380987,0035-9203,Journal Article,1956/09/01
13556872,0035-9203,Journal Article,1958/05/01
14175744,0035-9203,Journal Article,1964/07/01
14230895,0042-9686,Journal Article,1964/01/01
17195954,0304-8608,Journal Article,2007/01/01
18674965,1386-6532,Evaluation Studies,2008/09/01
18680646,1080-6040,Journal Article,2008/08/01
18771865,0399-077X,Journal Article,2008/10/01
19073551,0253-9772,Journal Article,2008/11/01
19073572,0253-9772,Journal Article,2008/12/01
19516034,0028-4793,Journal Article,2009/06/11
19725383,0025-682X,Journal Article,2009/08/01
19762169,0378-1135,Journal Article,2010/01/27
19788800,1080-6040,Journal Article,2009/09/01
21529401,1080-6040,Journal Article,2011/05/01
22305269,1080-6040,Letter,2012/02/01
22389730,1935-2727,Journal Article,2012/01/01
22825831,0146-6615,Journal Article,2012/09/01
22923343,0037-9085,Journal Article,2012/10/01
22953014,1935-2727,Journal Article,2012/01/01
23057269,0012-835X,Journal Article,2010/06/01
23878182,0002-9637,Journal Article,2013/09/01
23936579,1935-2727,Journal Article,2013/08/01
24148652,1743-422X,Evaluation Studies,2013/10/22
24421913,1935-2727,Journal Article,2014/01/09
24507466,1025-496X,Journal Article,2014/01/30
24507467,1025-496X,Journal Article,2014/01/30
24516683,1935-2727,Journal Article,2014/02/06
24605459,0022-2585,Journal Article,2014/01/01
24626205,1025-496X,Journal Article,2014/03/06
24721538,1025-496X,Journal Article,2014/04/03
24739982,1025-496X,Journal Article,2014/04/10
24813217,1049-5398,Journal Article,2014/01/01
24856001,1080-6040,Letter,2014/06/01
24903869,2169-8287,Journal Article,2014/06/05
24909208,1198-743X,Journal Article,2014/10/01
24917859,1664-302X,Journal Article,2014/06/03
24944843,2157-3999,Journal Article,2014/06/02
24983096,1080-6040,Journal Article,2014/06/01
25001879,0399-077X,Journal Article,2014/07/01
25062427,1080-6040,Letter,2014/08/01
25255027,1932-6203,Journal Article,2014/09/25
25294619,0002-9637,Journal Article,2014/11/01
25299181,1935-2727,Journal Article,2014/10/09
25310102,1932-6203,Journal Article,2014/10/13
25341051,1080-6040,Comment,2014/11/01
25345518,1025-496X,Journal Article,2014/10/16
25404071,0002-9637,Journal Article,2015/01/01
25514122,1530-3667,Journal Article,2014/12/01
25530324,1080-6040,Journal Article,2015/01/01
25539751,0151-9638,,2014/12/01
25559142,1326-0200,Journal Article,2015/02/01
25600600,1386-6532,Journal Article,2015/02/01
25625687,1080-6040,Letter,2015/02/01
25625872,1080-6040,Journal Article,2015/02/01
25706914,0951-7375,Journal Article,2015/04/01
25722614,0974-777X,Journal Article,2015/01/01
25811410,1080-6040,Historical Article,2015/04/01
25898277,1080-6040,Letter,2015/05/01
25996909,1195-1982,Journal Article,2015/09/01
26061233,0074-0276,Journal Article,2015/06/01
26071336,1386-6532,Evaluation Studies,2015/07/01
26084316,1025-496X,Journal Article,2015/06/11
26085147,0022-538X,Journal Article,2015/09/01
26101272,0002-9637,Journal Article,2015/08/01
26113729,1368-4973,Letter,2015/08/01
26142684,2036-6590,Journal Article,2015/07/04
26194519,0140-6736,Letter,2015/07/18
26257029,1477-8939,Letter,2016/01/01
26283013,0041-1132,Evaluation Studies,2016/01/01
26390164,1065-6251,Journal Article,2015/11/01
26401719,1080-6040,Letter,2015/10/01
26403318,1080-6040,Comment,2015/10/01
26482390,1201-9712,Journal Article,2015/12/01
26521519,0125-1562,Journal Article,2015/05/01
26527535,1471-2334,Journal Article,2015/11/02
26552108,0049-8114,Journal Article,2015/11/06
26581402,0022-2585,Evaluation Studies,2016/03/01
26584464,1080-6040,Letter,2015/12/01
26601449,0253-1933,Journal Article,2015/08/01
26611910,0304-8608,Journal Article,2016/03/01
26615388,1386-6532,Journal Article,2016/01/01
26627575,1477-8939,Letter,2016/01/01
26674809,1723-2007,Comment,2016/03/01
26674815,1723-2007,Journal Article,2016/03/01
26684466,0022-1317,Journal Article,2016/02/01
26689277,0037-8682,Journal Article,2016/02/01
26696621,0820-3946,News,2016/02/02
26698165,0959-8138,News,2015/12/23
26702627,0300-8584,Journal Article,2016/06/01
26706817,1286-4579,Editorial,2016/03/01
26710538,0535-5133,Editorial,2015/09/01
26731034,0960-7692,Journal Article,2016/01/01
26748604,1477-8939,Letter,2016/01/01
26754201,1876-0341,Letter,2016/09/01
26761185,0028-4793,Journal Article,2016/02/18
26762624,0959-8138,News,2016/01/13
26774330,1286-4579,Letter,2016/03/01
26774331,1286-4579,Editorial,2016/03/01
26774684,0001-706X,Journal Article,2016/05/01
26775124,0140-6736,Letter,2016/01/16
26775125,0140-6736,Letter,2016/01/16
26777915,0140-6736,Letter,2016/01/23
26778293,1477-8939,Editorial,2016/01/01
26782128,1195-1982,Journal Article,2016/01/18
26783242,0959-8138,News,2016/01/18
26792410,0151-9638,Journal Article,2015/12/01
26794427,1025-496X,Journal Article,2016/01/01
26796813,0149-2195,Journal Article,2016/01/22
26796917,0959-8138,News,2016/01/21
26799213,1935-2727,Journal Article,2016/01/22
26812929,0959-8138,Journal Article,2016/01/26
26813766,0959-8138,News,2016/01/26
26818622,0098-7484,Journal Article,2016/03/01
26820163,0149-2195,Journal Article,2016/01/29
26820244,0149-2195,Journal Article,2016/01/29
26820387,0149-2195,Journal Article,2016/01/29
26821709,1475-2875,Journal Article,2016/01/28
26824625,1530-3667,Editorial,2016/02/01
26825803,0959-8138,News,2016/01/29
26829957,0959-8138,News,2016/02/01
26830024,1471-2334,Journal Article,2016/02/01
26832396,0003-4819,Journal Article,2016/05/03
26837723,1876-0341,Comment,2016/09/01
26839177,0959-8138,Journal Article,2016/02/02
26839247,0959-8138,News,2016/02/02
26839785,2214-2509,Journal Article,2014/11/03
26840156,0004-2749,Journal Article,2016/02/01
26840174,0004-2749,Journal Article,2016/02/01
26841979,0140-6736,Editorial,2016/01/09
26842018,0028-0836,Editorial,2016/02/04
26842033,0028-0836,News,2016/02/04
26842604,0959-8138,News,2016/02/03
26848011,0959-8138,News,2016/02/04
26848089,2214-109X,Journal Article,2016/03/01
26849748,0870-399X,Editorial,2015/11/01
26849762,0870-399X,Journal Article,2015/11/01
26849896,0959-8138,News,2016/02/05
26850984,0140-6736,Comment,2016/02/20
26852261,0140-6736,News,2016/02/06
26852727,1473-3099,Journal Article,2016/03/01
26854199,1201-9712,Journal Article,2016/03/01
26856329,1756-3305,Journal Article,2016/02/09
26856896,0959-8138,Editorial,2016/02/08
26858259,0959-8138,News,2016/02/08
26858352,0820-3946,Journal Article,2016/03/15
