pmcid,issn,pubtype,pubdate,summary
4946541,0370-8179,Biography,1971-03-01,"Vraćević M.[Zika b. Marković, M.D. (19 September 1889--3 September 1970)]. Srp Arh Celok Lek. 1971 Mar; 99(3):209-11. "
22305269,1080-6040,Letter,2012-02-01,"Heang V, Yasuda CY, Sovann L, Haddow AD, Travassos da Rosa AP, Tesh RB, Kasper MR.Zika virus infection, Cambodia, 2010. Emerg Infect Dis. 2012 Feb; 18(2):349-51. "
26762624,0959-8138,News,2016-01-13,McCarthy M.First US case of Zika virus infection is identified in Texas. BMJ. 2016 Jan 13; 352:i212. 
24856001,1080-6040,Letter,2014-06-01,"Cao-Lormeau VM, Roche C, Teissier A, Robin E, Berry AL, Mallet HP, Sall AA, Musso D.Zika virus, French polynesia, South pacific, 2013. Emerg Infect Dis. 2014 Jun; 20(6):1085-6. "
25062427,1080-6040,Letter,2014-08-01,"Wæhre T, Maagard A, Tappe D, Cadar D, Schmidt-Chanasit J.Zika virus infection after travel to Tahiti, December 2013. Emerg Infect Dis. 2014 Aug; 20(8):1412-4. "
25341051,1080-6040,Comment,2014-11-01,"Hancock WT, Marfel M, Bel M.Zika virus, French Polynesia, South Pacific, 2013. Emerg Infect Dis. 2014 Nov; 20(11):1960. "
26774330,1286-4579,Letter,2016-03-01,"Tetro JA.Zika and microcephaly: causation, correlation, or coincidence? Microbes Infect. 2016 Mar; 18(3):167-8. "
25625687,1080-6040,Letter,2015-02-01,"Dupont-Rouzeyrol M, O'Connor O, Calvez E, Daurès M, John M, Grangeon JP, Gourinat AC.Co-infection with Zika and dengue viruses in 2 patients, New Caledonia, 2014. Emerg Infect Dis. 2015 Feb; 21(2):381-2. "
25898277,1080-6040,Letter,2015-05-01,"Tappe D, Nachtigall S, Kapaun A, Schnitzler P, Günther S, Schmidt-Chanasit J.Acute Zika virus infection after travel to Malaysian Borneo, September 2014. Emerg Infect Dis. 2015 May; 21(5):911-3. "
26113729,1368-4973,Letter,2015-08-01,"Patiño-Barbosa AM, Medina I, Gil-Restrepo AF, Rodriguez-Morales AJ.Zika: another sexually transmitted infection? Sex Transm Infect. 2015 Aug; 91(5):359. "
26194519,0140-6736,Letter,2015-07-18,"Musso D, Cao-Lormeau VM, Gubler DJ.Zika virus: following the path of dengue and chikungunya? Lancet. 2015 Jul 18; 386(9990):243-4. "
26257029,1477-8939,Letter,2016-01-01,"Martinez-Pulgarin DF, Acevedo-Mendoza WF, Cardona-Ospina JA, Rodríguez-Morales AJ, Paniz-Mondolfi AE.A bibliometric analysis of global Zika research. Travel Med Infect Dis. 2016 Jan-Feb; 14(1):55-7. "
26401719,1080-6040,Letter,2015-10-01,"Campos GS, Bandeira AC, Sardi SI.Zika Virus Outbreak, Bahia, Brazil. Emerg Infect Dis. 2015 Oct; 21(10):1885-6. "
26403318,1080-6040,Comment,2015-10-01,Musso D.Zika Virus Transmission from French Polynesia to Brazil. Emerg Infect Dis. 2015 Oct; 21(10):1887. 
26584464,1080-6040,Letter,2015-12-01,"Cardoso CW, Paploski IA, Kikuti M, Rodrigues MS, Silva MM, Campos GS, Sardi SI, Kitron U, Reis MG, Ribeiro GS.Outbreak of Exanthematous Illness Associated with Zika, Chikungunya, and Dengue Viruses, Salvador, Brazil. Emerg Infect Dis. 2015 Dec; 21(12):2274-6. "
26627575,1477-8939,Letter,2016-01-01,"Salvador FS, Fujita DM.Entry routes for Zika virus in Brazil after 2014 world cup: New possibilities. Travel Med Infect Dis. 2016 Jan-Feb; 14(1):49-51. "
26674809,1723-2007,Comment,2016-03-01,"Franchini M, Velati C.Blood safety and zoonotic emerging pathogens: now it's the turn of Zika virus! Blood Transfus. 2016 Mar; 14(2):93-4. "
26696621,0820-3946,News,2016-02-02,Brown C.Zika virus outbreaks in Asia and South America. CMAJ. 2016 Feb 2; 188(2):E34. 
26698165,0959-8138,News,2015-12-23,Dyer O.Zika virus spreads across Americas as concerns mount over birth defects. BMJ. 2015 Dec 23; 351:h6983. 
26706817,1286-4579,Editorial,2016-03-01,"Kelser EA.Meet dengue's cousin, Zika. Microbes Infect. 2016 Mar; 18(3):163-6. "
26710538,0535-5133,Editorial,2015-09-01,Valero Nereida.[Zika virus: Another emerging arbovirus in Venezuela?]. Invest Clin. 2015 Sep; 56(3):241-2. 
26748604,1477-8939,Letter,2016-01-01,"Sabogal-Roman JA, Murillo-García DR, Yepes-Echeverri MC, Restrepo-Mejia JD, Granados-Álvarez S, Paniz-Mondolfi AE, Villamil-Gómez WE, Zapata-Cerpa DC, Barreto-Rodriguez K, Rodríguez-Morales AJ.Healthcare students and workers' knowledge about transmission, epidemiology and symptoms of Zika fever in four cities of Colombia. Travel Med Infect Dis. 2016 Jan-Feb; 14(1):52-4. "
26754201,1876-0341,Letter,2016-09-01,"Villamil-Gómez WE, González-Camargo O, Rodriguez-Ayubi J, Zapata-Serpa D, Rodriguez-Morales AJ.Dengue, chikungunya and Zika co-infection in a patient from Colombia. J Infect Public Health. 2016 Sep-Oct; 9(5):684-6. "
26774331,1286-4579,Editorial,2016-03-01,"Carneiro LA, Travassos LH.Autophagy and viral diseases transmitted by Aedes aegypti and Aedes albopictus. Microbes Infect. 2016 Mar; 18(3):169-71. "
26775124,0140-6736,Letter,2016-01-16,"Enfissi A, Codrington J, Roosblad J, Kazanji M, Rousset D.Zika virus genome from the Americas. Lancet. 2016 Jan 16; 387(10015):227-8. "
26775125,0140-6736,Letter,2016-01-16,"Ventura CV, Maia M, Bravo-Filho V, Góis AL, Belfort R Jr.Zika virus in Brazil and macular atrophy in a child with microcephaly. Lancet. 2016 Jan 16; 387(10015):228. "
26777915,0140-6736,Letter,2016-01-23,"Bogoch II, Brady OJ, Kraemer MUG, German M, Creatore MI, Kulkarni MA, Brownstein JS, Mekaru SR, Hay SI, Groot E, Watts A, Khan K.Anticipating the international spread of Zika virus from Brazil. Lancet. 2016 Jan 23; 387(10016):335-336. "
26778293,1477-8939,Editorial,2016-01-01,"Gautret P, Simon F.Dengue, chikungunya and Zika and mass gatherings: What happened in Brazil, 2014. Travel Med Infect Dis. 2016 Jan-Feb; 14(1):7-8. "
26783242,0959-8138,News,2016-01-18,McCarthy M.Zika virus outbreak prompts US to issue travel alert to pregnant women. BMJ. 2016 Jan 18; 352:i306. 
26796917,0959-8138,News,2016-01-21,Dyer O.Jamaica advises women to avoid pregnancy as Zika virus approaches. BMJ. 2016 Jan 21; 352:i383. 
26813766,0959-8138,News,2016-01-26,Torjesen I.Zika virus outbreaks prompt warnings to pregnant women. BMJ. 2016 Jan 26; 352:i500. 
26824625,1530-3667,Editorial,2016-02-01,Higgs S.Zika Virus: Emergence and Emergency. Vector Borne Zoonotic Dis. 2016 Feb; 16(2):75-6. 
26825803,0959-8138,News,2016-01-29,Gulland A.WHO urges countries in dengue belt to look out for Zika. BMJ. 2016 Jan 29; 352:i595. 
26829957,0959-8138,News,2016-02-01,"Dyer O.Zika vaccine could be in production by year's end, says maker. BMJ. 2016 Feb 1; 352:i630. "
26837723,1876-0341,Comment,2016-09-01,"Faccini-Martínez ÁA, Botero-García CA, Benítez-Baracaldo FC, Pérez-Díaz CE.With regard about the case of Dengue, Chikungunya and Zika co-infection in a patient from Colombia. J Infect Public Health. 2016 Sep-Oct; 9(5):687-8. "
26839247,0959-8138,News,2016-02-02,"Gulland A.Zika virus is a global public health emergency, declares WHO. BMJ. 2016 Feb 2; 352:i657. "
26841979,0140-6736,Editorial,2016-01-09,Zika virus: a new global threat for 2016. Lancet. 2016 Jan 9; 387(10014):96. 
26842018,0028-0836,Editorial,2016-02-04,The next steps on Zika. Nature. 2016 Feb 4; 530(7588):5. 
