uid,authors,pub_year,pub_month,title,summary
33772,"Renaudet J, Jan C, Ridet J, Adam C, Robin Y","1978","Mar-Apr","[A serological survey of arboviruses in the human population of Senegal].","Renaudet J, Jan C, Ridet J, Adam C, Robin Y.[A serological survey of arboviruses in the human population of Senegal]. Bull Soc Pathol Exot Filiales. 1978 Mar-Apr; 71(2):131-40." 
407675,"Kirya BG","1977","","A yellow fever epizootic in Zika forest, Uganda, during 1972: Part 1: Virus isolation and sentinel monkeys.","Kirya BG.A yellow fever epizootic in Zika forest, Uganda, during 1972: Part 1: Virus isolation and sentinel monkeys. Trans R Soc Trop Med Hyg. 1977; 71(3):254-60." 
413216,"Kirya BG, Okia NO","1977","","A yellow fever epizootic in Zika Forest, Uganda, during 1972: Part 2: Monkey serology.","Kirya BG, Okia NO.A yellow fever epizootic in Zika Forest, Uganda, during 1972: Part 2: Monkey serology. Trans R Soc Trop Med Hyg. 1977; 71(4):300-3." 
489960,"Fagbami AH","1979","Oct","Zika virus infections in Nigeria: virological and seroepidemiological investigations in Oyo State.","Fagbami AH.Zika virus infections in Nigeria: virological and seroepidemiological investigations in Oyo State. J Hyg (Lond). 1979 Oct; 83(2):213-9." 
743766,"Jan C, Languillat G, Renaudet J, Robin Y","1978","Mar-Apr","[A serological survey of arboviruses in Gabon].","Jan C, Languillat G, Renaudet J, Robin Y.[A serological survey of arboviruses in Gabon]. Bull Soc Pathol Exot Filiales. 1978 Mar-Apr; 71(2):140-6." 
906078,"Fagbami A","1977","Jun","Epidemiological investigations on arbovirus infections at Igbo-Ora, Nigeria.","Fagbami A.Epidemiological investigations on arbovirus infections at Igbo-Ora, Nigeria. Trop Geogr Med. 1977 Jun; 29(2):187-91." 
1124969,"Moore DL, Causey OR, Carey DE, Reddy S, Cooke AR, Akinkugbe FM, David-West TS, Kemp GE","1975","Mar","Arthropod-borne viral infections of man in Nigeria, 1964-1970.","Moore DL, Causey OR, Carey DE, Reddy S, Cooke AR, Akinkugbe FM, David-West TS, Kemp GE.Arthropod-borne viral infections of man in Nigeria, 1964-1970. Ann Trop Med Parasitol. 1975 Mar; 69(1):49-64." 
1243735,"Robin Y, Mouchet J","1975","May-Jun","[Serological and entomological study on yellow fever in Sierra Leone].","Robin Y, Mouchet J.[Serological and entomological study on yellow fever in Sierra Leone]. Bull Soc Pathol Exot Filiales. 1975 May-Jun; 68(3):249-58." 
1245842,"Way JH, Bowen ET, Platt GS","1976","Jan","Comparative studies of some African arboviruses in cell culture and in mice.","Way JH, Bowen ET, Platt GS.Comparative studies of some African arboviruses in cell culture and in mice. J Gen Virol. 1976 Jan; 30(1):123-30." 
1659238,"Miller BR, Mitchell CJ","1991","Oct","Genetic selection of a flavivirus-refractory strain of the yellow fever mosquito Aedes aegypti.","Miller BR, Mitchell CJ.Genetic selection of a flavivirus-refractory strain of the yellow fever mosquito Aedes aegypti. Am J Trop Med Hyg. 1991 Oct; 45(4):399-407." 
2559514,"Rodhain F, Gonzalez JP, Mercier E, Helynck B, Larouze B, Hannoun C","1989","Nov-Dec","Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district, 1984.","Rodhain F, Gonzalez JP, Mercier E, Helynck B, Larouze B, Hannoun C.Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district, 1984. Trans R Soc Trop Med Hyg. 1989 Nov-Dec; 83(6):851-4." 
2600591,"Botros BA, Watts DM, Soliman AK, Salib AW, Moussa MI, Mursal H, Douglas C, Farah M","1989","Oct","Serological evidence of dengue fever among refugees, Hargeysa, Somalia.","Botros BA, Watts DM, Soliman AK, Salib AW, Moussa MI, Mursal H, Douglas C, Farah M.Serological evidence of dengue fever among refugees, Hargeysa, Somalia. J Med Virol. 1989 Oct; 29(2):79-81." 
2841406,"Buckley A, Gould EA","1988","Aug","Detection of virus-specific antigen in the nuclei or nucleoli of cells infected with Zika or Langat virus.","Buckley A, Gould EA.Detection of virus-specific antigen in the nuclei or nucleoli of cells infected with Zika or Langat virus. J Gen Virol. 1988 Aug; 69 ( Pt 8):1913-20." 
3028713,"Fagbami AH, Halstead SB, Marchette NJ, Larsen K","1987","","Cross-infection enhancement among African flaviviruses by immune mouse ascitic fluids.","Fagbami AH, Halstead SB, Marchette NJ, Larsen K.Cross-infection enhancement among African flaviviruses by immune mouse ascitic fluids. Cytobios. 1987; 49(196):49-55." 
