citedBy,PMCid,DOI
10.1016/S1473-3099(16)30318-8,PMC2744281,
10.1016/S1473-3099(16)30318-8,,
10.1016/S1473-3099(16)30318-8,,
10.1016/S1473-3099(16)30318-8,,
10.1016/S1473-3099(16)30318-8,,
10.1016/S1473-3099(16)30318-8,,
10.1016/S1473-3099(16)30318-8,,
10.1038/nature22401,PMC4873159,10.1016/S0140-6736(16)00080-5
10.1038/nature22401,PMC5086423,10.1016/S1473-3099(16)30270-5
10.1038/nature22401,PMC4503805,10.1016/j.cell.2015.06.007
10.1038/nature22401,PMC4677796,10.1016/j.cub.2011.05.058
10.1038/nature22401,PMC4972550,10.1016/j.ebiom.2016.06.009
10.1038/nature22401,PMC5117728,10.1038/emi.2016.106
10.1038/nature22401,PMC5117730,10.1038/emi.2016.109
10.1038/nature22401,PMC4594756,10.1038/nmeth.2109
10.1038/nature22401,PMC5224381,10.1073/pnas.1614303114
10.1038/nature22401,PMC3816335,10.1093/aje/kwt133
10.1038/nature22401,PMC4514929,10.1093/bioinformatics/btv184
10.1038/nature22401,PMC2734148,10.1093/molbev/msp003
10.1038/nature22401,PMC3408070,10.1093/molbev/mss075
10.1038/nature22401,PMC3548314,10.1093/molbev/mss243
10.1038/nature22401,PMC5014473,10.1093/ve/vev003
10.1038/nature22401,PMC4989882,10.1093/ve/vew007
10.1038/nature22401,PMC2607419,10.1098/rstb.2008.0176
10.1038/nature22401,PMC4918795,10.1126/science.aaf5036
10.1038/nature22401,PMC5467639,10.1126/science.aaf8160
10.1038/nature22401,PMC5475255,10.1126/science.aag0219
10.1038/nature22401,PMC224983,10.1128/JVI.77.20.11296-11298.2003
10.1038/nature22401,PMC5009983,10.1128/genomeA.00917-16
10.1038/nature22401,PMC5061869,10.1128/mBio.01239-16
10.1038/nature22401,PMC3128053,10.1186/1471-2334-11-166
10.1038/nature22401,PMC2740835,10.1371/journal.pcbi.1000520
10.1038/nature22401,PMC3985171,10.1371/journal.pcbi.1003537
10.1038/nature22401,PMC4534465,10.1371/journal.pgen.1005421
10.1038/nature22401,PMC3181236,10.1371/journal.pntd.0001322
10.1038/nature22401,PMC3888466,10.1371/journal.pntd.0002636
10.1038/nature22401,PMC3946027,10.1371/journal.pone.0089783
10.1038/nature22401,PMC1456386,10.1534/genetics.105.048975
10.1038/nature22401,PMC4501423,10.1590/0074-02760150192
10.1038/nature22401,PMC5034643,10.2471/BLT.16.171082
10.1038/nature22401,PMC5096355,10.2471/BLT.16.174540
10.1038/nature22401,PMC5153932,10.2471/BLT.16.175950
10.1038/nature22401,PMC2600394,10.3201/eid1408.080287
10.1038/nature22401,PMC4593454,10.3201/eid2110.150847
10.1038/nature22401,PMC5038429,10.3201/eid2210.160663
10.1038/nature22401,PMC4493616,10.7554/eLife.08347
10.1038/nature22401,PMC1461297,
10.1038/nature22401,PMC4817224,10.1038/nature16996
